RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1545812,-2201137,-8.412295,157.333987,8:24:44S,157:20:02E,57LUL1657169732,SC57-01,H,STM,,BP,0,,,,N,,,,GHUMIGHUMI,Ghumighumi,Ghumighumi,GHUMIGHUMI,Ghumighumi,Ghumighumi,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545790,-2201115,-8.250931,157.428936,8:15:03S,157:25:44E,57LUL2695787621,SC57-01,H,STM,,BP,0,,,,N,,,,GHORIGHORI,Ghorighori,Ghorighori,GHORIGHORI,Ghorighori,Ghorighori,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545765,-2201085,-8.396775,157.614227,8:23:48S,157:36:51E,57LUL4742671568,SC57-02,H,STM,,BP,0,,,,N,,,,GHIZO,Ghizo,Ghizo,GHIZO,Ghizo,Ghizo,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545718,-2201035,-8.26285,157.336764,8:15:46S,157:20:12E,57LUL1680786261,SC57-01,H,STM,,BP,0,,,,N,,,,GHARANGA,Gharanga,Gharanga,GHARANGA,Gharanga,Gharanga,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545458,-2200668,-8.432776,157.307175,8:25:58S,157:18:26E,57LUL1362867454,SC57-01,H,STM,,BP,0,,,,N,,,,EPATACREEK,Epata Creek,Epata Creek,EPATACREEK,Epata Creek,Epata Creek,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545453,-2200660,-8.174089,157.296203,8:10:27S,157:17:46E,57LUL1229796059,SC57-01,H,INLT,,BP,0,,,,V,,,,ENOGU,Enogu,Enogu,ENOGU,Enogu,Enogu,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545453,-2200658,-8.174089,157.296203,8:10:27S,157:17:46E,57LUL1229796059,SC57-01,H,INLT,,BP,0,,,,N,,,,ENOGHAEINLET,Enoghae Inlet,Enoghae Inlet,ENOGHAEINLET,Enoghae Inlet,Enoghae Inlet,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545453,-2200657,-8.174089,157.296203,8:10:27S,157:17:46E,57LUL1229796059,SC57-01,H,INLT,,BP,0,,,,V,,,,ENOGAIR,Enogair,Enogair,ENOGAIR,Enogair,Enogair,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545453,-2202733,-8.174089,157.296203,8:10:27S,157:17:46E,57LUL1229796059,SC57-01,H,INLT,,BP,0,,,,V,,,,KOLIEUROINLET,Kolieuro Inlet,Kolieuro Inlet,KOLIEUROINLET,Kolieuro Inlet,Kolieuro Inlet,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545453,-2200656,-8.174089,157.296203,8:10:27S,157:17:46E,57LUL1229796059,SC57-01,H,INLT,,BP,0,,,,V,,,,ENOGAIINLET,Enogai Inlet,Enogai Inlet,ENOGAIINLET,Enogai Inlet,Enogai Inlet,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545444,-2200646,-8.43705,157.967955,8:26:13S,157:58:05E,57LUL8638867235,SC57-02,H,CHNM,,BP,0,,,,N,,,,EMBOLOPASSAGE,Embolo Passage,Embolo Passage,EMBOLOPASSAGE,Embolo Passage,Embolo Passage,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545444,-2200645,-8.43705,157.967955,8:26:13S,157:58:05E,57LUL8638867235,SC57-02,H,CHNM,,BP,0,,,,V,,,,EMBOLOOPENING,Embolo Opening,Embolo Opening,EMBOLOOPENING,Embolo Opening,Embolo Opening,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545434,-2200632,-8.291898,157.322742,8:17:31S,157:19:22E,57LUL1527683042,SC57-01,H,STM,,BP,0,,,,N,,,,ELELO,Elelo,Elelo,ELELO,Elelo,Elelo,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545429,-2204075,-8.413484,157.374887,8:24:49S,157:22:30E,57LUL2107669619,SC57-01,H,COVE,,BP,0,,,,V,,,,MABINCOVE,Mabin Cove,Mabin Cove,MABINCOVE,Mabin Cove,Mabin Cove,,2010-11-19,"1,2,3,4,5",,,,1993-09-01,,
5,-1545429,-2200625,-8.413484,157.374887,8:24:49S,157:22:30E,57LUL2107669619,SC57-01,H,COVE,,BP,0,,,,N,,,,EGHELOCOVE,Eghelo Cove,Eghelo Cove,EGHELOCOVE,Eghelo Cove,Eghelo Cove,,2010-11-19,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546807,-2202396,-9.602147,159.684021,9:36:08S,159:41:02E,57LWK7505738500,SC57-07,H,STM,,BP,0,,,,N,,Kemane,,KEMANERIVER,Kemane River,Kemane River,KEMANERIVER,Kemane River,Kemane River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546642,-2202202,-9.274557,159.734928,9:16:28S,159:44:06E,57LWK8071974710,SC57-07,H,STM,,BP,0,,,,N,,Kaogha,,KAOGHARIVER,Kaogha River,Kaogha River,KAOGHARIVER,Kaogha River,Kaogha River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546642,-2202567,-9.274557,159.734928,9:16:28S,159:44:06E,57LWK8071974710,SC57-07,H,STM,,BP,0,,,,V,,,,KOAGORIVER,Koago River,Koago River,KOAGORIVER,Koago River,Koago River,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1546523,-2202053,-9.346429,159.706292,9:20:47S,159:42:23E,57LWK7755866770,SC57-07,H,STM,,BP,0,,,,N,,Kahe,,KAHERIVER,Kahe River,Kahe River,KAHERIVER,Kahe River,Kahe River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546288,-2206522,-9.262731,159.628914,9:15:46S,159:37:44E,57LWK6907776040,SC57-07,H,RF,,BP,6,,,,V,,,,NUHUPARUREEF,Nuhuparu Reef,Nuhuparu Reef,NUHUPARUREEF,Nuhuparu Reef,Nuhuparu Reef,,2010-11-16,"1,2,3,4,5",,,,1995-12-26,,
5,-1546288,-2201753,-9.262731,159.628914,9:15:46S,159:37:44E,57LWK6907776040,SC57-07,H,RF,,BP,6,,,,V,,,,HOWIESHOALS,Howie Shoals,Howie Shoals,HOWIESHOALS,Howie Shoals,Howie Shoals,,2010-11-16,"1,2,3,4,5",,,,1995-12-26,,
5,-1546288,-2201752,-9.262731,159.628914,9:15:46S,159:37:44E,57LWK6907776040,SC57-07,H,RF,,BP,6,,,,N,,,,HOWIESHOAL,Howie Shoal,Howie Shoal,HOWIESHOAL,Howie Shoal,Howie Shoal,,2010-11-16,"1,2,3,4,5",1,,,1995-12-26,,
5,-1546188,-2210463,-9.459946,159.603876,9:27:36S,159:36:14E,57LWK6629054239,SC57-07,H,STM,,BP,0,,,,V,,,,VERIANARIVER,Veriana River,Veriana River,VERIANARIVER,Veriana River,Veriana River,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1546188,-2201634,-9.459946,159.603876,9:27:36S,159:36:14E,57LWK6629054239,SC57-07,H,STM,,BP,0,,,,N,,Hoilava,,HOILAVARIVER,Hoilava River,Hoilava River,HOILAVARIVER,Hoilava River,Hoilava River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546188,-2210229,-9.459946,159.603876,9:27:36S,159:36:14E,57LWK6629054239,SC57-07,H,STM,,BP,0,,,,V,,,,VARIANARIVER,Variana River,Variana River,VARIANARIVER,Variana River,Variana River,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1546141,-2201581,-9.377667,159.736276,9:22:40S,159:44:11E,57LWK8084363309,SC57-07,H,STM,,BP,0,,,,N,,,,HIDDENVALLEY,Hidden Valley,Hidden Valley,HIDDENVALLEY,Hidden Valley,Hidden Valley,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545803,-2201128,-9.556858,159.634508,9:33:25S,159:38:04E,57LWK6963343518,SC57-07,H,STM,,BP,0,,,,N,,Ghove,,GHOVERIVER,Ghove River,Ghove River,GHOVERIVER,Ghove River,Ghove River,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
