RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1550729,-2207380,-11.635313,166.893551,11:38:07S,166:53:37E,58LGN0643813084,SC58-16,T,MT,,BP,0,,,,N,,,,MOUNTPOPOGIA,Mount Popogia,Mount Popogia,POPOGIA MOUNT,"Popogia, Mount","Popogia, Mount",,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550629,-2207254,-10.172684,166.247395,10:10:22S,166:14:51E,58LFP3664675232,SC58-11,T,ISL,,BP,0,,,,N,,,,PILENI,Pileni,Pileni,PILENI,Pileni,Pileni,,2010-11-16,"1,2,3,4,5,6,7,8,9",1,,,1993-09-01,,
5,-1550629,-2207255,-10.172684,166.247395,10:10:22S,166:14:51E,58LFP3664675232,SC58-11,T,ISL,,BP,0,,,,V,,,,PILENIA,Pilenia,Pilenia,PILENIA,Pilenia,Pilenia,,2010-11-16,"1,2,3,4,5,6,7,8,9",,,,1993-09-01,,
5,-1550629,14255867,-10.172684,166.247395,10:10:22S,166:14:51E,58LFP3664675232,SC58-11,T,ISL,,BP,0,,,,V,,,,PILENIISLAND,Pileni Island,Pileni Island,PILENIISLAND,Pileni Island,Pileni Island,,2010-11-16,"1,2,3,4,5,6,7,8,9",,,,2013-05-09,,
5,-1550629,14255868,-10.172684,166.247395,10:10:22S,166:14:51E,58LFP3664675232,SC58-11,T,ISL,,BP,0,,,,V,,,,NIMIBILE,Nimibile,Nimibile,NIMIBILE,Nimibile,Nimibile,,2010-11-16,"1,2,3,4,5,6,7,8,9",,,,2013-05-09,,
5,-1550408,-2206964,-11.282531,166.521337,11:16:57S,166:31:17E,58LFN6605552349,SC58-16,T,HLL,,BP,0,,,,N,,,,PANAVA,Panava,Panava,PANAVA,Panava,Panava,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550408,-2199727,-11.282531,166.521337,11:16:57S,166:31:17E,58LFN6605552349,SC58-16,T,HLL,,BP,0,,,,V,,,,MOUNTARTHUR,Mount Arthur,Mount Arthur,ARTHUR MOUNT,"Arthur, Mount","Arthur, Mount",,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552466,-2209602,-9.170999,160.204796,9:10:16S,160:12:17E,57LXK3237086021,SC57-07,T,PT,,BP,0,,,,V,,,,TINETIPOINT,Tineti Point,Tineti Point,TINETIPOINT,Tineti Point,Tineti Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552466,-2209601,-9.170999,160.204796,9:10:16S,160:12:17E,57LXK3237086021,SC57-07,T,PT,,BP,0,,,,N,,,,TINETEPOINT,Tinete Point,Tinete Point,TINETEPOINT,Tinete Point,Tinete Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552420,-2200950,-9.040149,160.10283,9:02:25S,160:06:10E,57LXL2121000526,SC57-07,T,ISL,,BP,0,,,,V,,,,GASKELLISLAND,Gaskell Island,Gaskell Island,GASKELLISLAND,Gaskell Island,Gaskell Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552420,-2209537,-9.040149,160.10283,9:02:25S,160:06:10E,57LXL2121000526,SC57-07,T,ISL,,BP,0,,,,N,,,,TETEISLAND,Tete Island,Tete Island,TETEISLAND,Tete Island,Tete Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552420,-2209539,-9.040149,160.10283,9:02:25S,160:06:10E,57LXL2121000526,SC57-07,T,ISL,,BP,0,,,,V,,,,TETELISLAND,Tetel Island,Tetel Island,TETELISLAND,Tetel Island,Tetel Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
